NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC;logGL;logBp;logDp;logSD;logDD;logBd;logDd;logBT;logHTC;logSLC
n9589;290427;oc;esc;coll + pala;r;c;;fissures, weathering;1;f;;9;120;NA1;;;;;;7;20,9;33;23,4;27,6;;;;;;;;;;;;;;;;;;;;
n8392;290307;sudo;P1;s;;c;;carnivore;1;f;;24;72;NA3;;;;;;6;33,6;15,4;16,4;11,6;13,4;9,1;;;;;;;;;;;;;;;;;;
n3797;280124;oc;esc;coll;r;c;si;fissures;1;f;;9;120;NA3;;;;;;4;;36,8;23,9;28,7;;;;;;;;;;;;;;;;;;;;
n2382;270064;bota;skull;banya;r;sto;si;roots;1;;;9;120;NR;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
n8181;290109;bota;RA;diaf prox;r;c;;fissures, roots;2;f prox;;12;120;NR;;;;;;6;;68,7;32,9;;;;;;;;;;;;;-0,0257707912584242;-0,0738687090765249;;;;;;;
n2293;270064;oc;skull;zigomatic;;c;;fissures;1;;;9;120;NR;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
n5662;280222;oc;dn;d4 sup;l;c;;fissures;1;;;9;18;NA3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
n3513;280114;oc;CA;;l;c;;roots;2;nf;;9;36;NA3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
n6482;280302;bota;skull;part basilar;;c;;roots;1;;;6;120;Vand;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;
n10622;290125;oc;mp;epif dist;;c;;roots;1;nf;;9;24;NR;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
n1937;270300;oc;TI;diaf dist;r;c;si;roots;1;f;;15;120;Vand;;;;;;1;;;;;27;21,3;;;;;;;;;;;;;0,38604078537233;-0,0747409177370802;;;;
n11781;***1018;other;amfibi;tibiofibula;;;;roots;1;;;;;Vand;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;
n11690;***1018;oc;RA;diaf;r;c;;roots;1;;;;;Vand;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;
n9852;290432;bota;cox;acet;r;c;si;roots;2;f;;9;120;NA1;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;
n3789;280124;gazella?;esc;g-s;r;c;si;;0;;;9;120;NA3;;;;;;4;21,5;;21,5;;;;;;;;;;;;;;;;;;;;;
n5446;280222;oc;RA;diaf;l;c;;carnivore;1;;;9;120;NA3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
n12247;190212;oc;skull;hioide;;c;si;roots;1;;;;;indet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n10738;290432;oc;TI;;;;;weathering;3;nf;;0;1;NA1;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
n115;260003;ovar;mand;p3-m3;r;c;si;roots;2;m3 +/-;;18;24;LateRoman;;;;;;;;;27,1;;;18,5;24,6;;;;;;;;;;;;;;;;;
n3341;170046;oc;TI;diaf;;c;;fissures, weathering, roots;2;;;9;120;Med;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
n9828;290212;bota;dn;indet;;sto;;fissures;1;;;;;NR;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;
n7096;280320;oc;ulna;diaf;r;ant;;fissures, roots;1;;;;;EarlyRoman;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;
n5611;280216;sudo;skull;max:d2-d4;l;c;;weathering, roots;1; +/0;;3;6;NA3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
n1882;270211;oc;cox;g-s;l;c;;roots;1;nf;masc;9;42;Vand;;;;;;2;27,1;24,6;8,5;8;14,4;9,1;;;;;;;;;;;;;;;;;;
n503;160048;oc;MC;diaf prox;r;c;;roots i fissures;1;nf dist;;12;24;EarlyRoman;;;;;;;;26,1;19,3;15,9;11,1;;;;;;;;;;;0,0882609038995432;;;-0,0584807421692994;;;;;
n7129;260078;sudo;P3;s;;c;;;0;;;;;indet;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;
n3551;280118;equus;P2;s;;c;;fissures;2;f;;12;120;NA3;;;;;;4;46,3;50,7;30,5;43,3;48,7;25,4;;;;;;;;;;;;;;;;;;
n8094;290107;oc;MT;g-s;r;med;;roots;1;nf;;12;24;NR;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
n12976;***1074;oc;vert;toracica;;c;;weathering;1;nf;;1;4;EarlyRoman;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;
n12866;***1065;ovar;AS;;r;c;;;0;;;;;EarlyRoman;;;;;;12;27,3;;;;;17,6;;;;;;;;;0,00479888288176871;;;;;-0,00490733449474412;;;;
n10883;290432;bota;skull;max: d4-m1;l;c;;weathering, fissures;1;M1 +/0,M2 +/-;;18;24;NA1;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
n5305;280200;oc;skull;zigomatic;;;;weathering;1;nf;;6;42;NA3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
n4958;180092;bota;HU;ext dist;;sto;;roots;1;f;;15;120;EarlyRoman;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
n12056;190030;bota;P1 ant;diaf prox;;c;;roots, fissures, weathering;2;f;;24;120;EarlyRoman;;;;;;11;;25,5;27,9;;;;;;;;;;;;;-0,0406178509082641;-0,0315170514460649;;;;;;;
n4111;280412;sudo;P1;s;;c;;roots;1;f;;24;72;Vand;;;;;;4;32,1;17;16,6;12,7;14,6;9,9;;;;;;;;;;;;;;;;;;
n9675;290212;oc;esc;pala;;c;;weathering;1;;;;;NR;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;
n843;160028;oc;HU;diaf dist;l;c;;fissures, roots;2;f;;9;120;Vand;;;;;;;;;;;;;23;29,1;;;;;;;;;;;;;;0,0309236981115015;;
n6499;280311;sudo;P3;s;;c;;;0;;;3;24;Vand;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;
n10855;290432;bota;esc;coll;r;c;si;fissures, roots;1;f;;9;120;NA1;;;;;;9;;64,6;51,3;44,9;;;;;;;;;;;;;;;;;;;;
