NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n6803;280524;sudo;skull;orbita;r;sto;;;0;;;3;9;NR;;;;;;C;;;;;;;;;;;;;;
n4505;280435;sudo;P1;s;;c;;;;ec;;23;24;Vand;;;;;;4;33,9;16,7;14,9;13,1;15,9;11,8;;;;;;;;
n1965;270210;sudo;mand;serie: p2-p3;r;c;si;fissures;1;;;12;15;Vand;;;;;;2;;;;;;;;;;;;;;
n8401;290311;oc;HU;diaf dist;l;c;;fissures, weathering, roots;2;f;;9;120;NR;;;;;;6;;;;;;33,4;30,3;33;;;;;;
n3514;280114;oc;patella;g-s;;c;;;;;;;;NA3;;;;;;4;;;;;;;;;;;;;;
n72;260307;oc;skull;os incisiu;r;c;;roots;1;;;9;72;Med;;;;;;;;;;;;;;;;;;;;
n12205;190032;oc;dn;m12 sup;r;c;;roots, fissures, weathering;2; +;;12;24;EarlyRoman;;;;;;11;;;;;;;;;;;;;;
n8474;290400;oc;esc;coll+pala;r;c;si;weathering;1;nf;;1;3;NA3;;;;;;6;;;;;;;;;;;;;;
n7301;170036;oc;RA;diaf prox;l;c;;fissures, roots;2;f;;12;120;LateRoman;;;;;;C;;;;;;;;;;;;;;
n4126;280412;oc;dn;m2 sup;l;c;;;0; +;;12;24;Vand;;;;;;4;;;;;;;;;;;;;;
n10069;290428;bota;esc;pala;;;;roots, fissures;1;;;;;NA1;;;;;;8;;;;;;;;;;;;;;
n8664;290409;oc;ulna;ext, prox;r;c;;fissures;1;f;;42;120;NA1;;;;;;6;;;;;;;;;;;;;;
n10077;290121;bota;vert;cervical;;sto;;carnivore;4;;;;;NA3;;;;;;8;;;;;;;;;;;;;;
n217;160035;oc;FE;ep dist;;c;;roots;2;nf;;9;42;EarlyRoman;;;-125;-50;;;;;;;;;;;;;;;;
n7416;170061;indet;indet;indet;;;;;;;;;;Med;;;;;;C;;;;;;;;;;;;;;
n11284;290130;oc;RA;diaf;l;lat;;carnivore, roots;1;;;;;NR;;;;;;10;;;;;;;;;;;;;;
n4812;280138;ovar;MC;ext dist;l;c;si;roots;1;f;;24;120;NA3;;;;;;4;;;;;;25,1;17,1;;;;;;;
n10479;290217;bota;MT;diaf dist;r;c;;carnivore;1;f;;24;120;NA3;;;;;;8;;;;;;46,6;26,6;;;22,5;19,9;21,6;18,7;
