NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n3586;280219;cafa;connexio de cox, escapula, ulna i FEur, potser vertebra tambe, tot sencer, arrels 1, no traces;;;;;;;;;0;1;NA3;;;;;;4;;;;;;;;;;;;;;
n5048;180097;oc;AS;;r;c;;carnivore;1;;;9;120;EarlyRoman;;;;;;3;28,3;15,9;17,9;;;;;;;;;;;
n3231;170028;oc;cox;illion;l;c;;burnt;3;;;;;Med;;;;;;3;;;;;;;;;;;;;;
n4542;280465;oc;skull;amb borronet de banya, segurament esmussa;;sto;;roots;1;;;0;2;NR;;;;;;4;;;;;;;;;;;;;;
n6638;280300;bota;RA;diaf;;c;;weathering, carnivore, roots;2;;;4;12;Vand;;;;;;A;;;;;;;;;;;;;;
n8977;290419;bota;P3;s;;;;fissures;1;;;9;120;NA2;;;;;;6;28,8;;;;;;;;;;;;;
n5734;280333;sudo;dn;m2 sup;r;c;;;0; +/-;;9;12;NR;;;;;;5;22,2;13,7;;;;;;;;;;;;
n1106;170056;oc;dn;molar sup;;sto;si;;;;;24;48;Med;;;;;;;;;;;;;;;;;;;;
n9589;290427;oc;esc;coll + pala;r;c;;fissures, weathering;1;f;;9;120;NA1;;;;;;7;20,9;33;23,4;27,6;;;;;;;;;;
n8392;290307;sudo;P1;s;;c;;carnivore;1;f;;24;72;NA3;;;;;;6;33,6;15,4;16,4;11,6;13,4;9,1;;;;;;;;
n3797;280124;oc;esc;coll;r;c;si;fissures;1;f;;9;120;NA3;;;;;;4;;36,8;23,9;28,7;;;;;;;;;;
n2382;270064;bota;skull;banya;r;sto;si;roots;1;;;9;120;NR;;;;;;2;;;;;;;;;;;;;;
n8181;290109;bota;RA;diaf prox;r;c;;fissures, roots;2;f prox;;12;120;NR;;;;;;6;;68,7;32,9;;;;;;;;;;;
n2293;270064;oc;skull;zigomatic;;c;;fissures;1;;;9;120;NR;;;;;;2;;;;;;;;;;;;;;
n5662;280222;oc;dn;d4 sup;l;c;;fissures;1;;;9;18;NA3;;;;;;5;;;;;;;;;;;;;;
n3513;280114;oc;CA;;l;c;;roots;2;nf;;9;36;NA3;;;;;;4;;;;;;;;;;;;;;
n6482;280302;bota;skull;part basilar;;c;;roots;1;;;6;120;Vand;;;;;;A;;;;;;;;;;;;;;
n10622;290125;oc;mp;epif dist;;c;;roots;1;nf;;9;24;NR;;;;;;9;;;;;;;;;;;;;;
n1937;270300;oc;TI;diaf dist;r;c;si;roots;1;f;;15;120;Vand;;;;;;1;;;;;27;21,3;;;;;;;;
n11781;***1018;other;amfibi;tibiofibula;;;;roots;1;;;;;Vand;;;;;;10;;;;;;;;;;;;;;
n11690;***1018;oc;RA;diaf;r;c;;roots;1;;;;;Vand;;;;;;10;;;;;;;;;;;;;;
n9852;290432;bota;cox;acet;r;c;si;roots;2;f;;9;120;NA1;;;;;;8;;;;;;;;;;;;;;
n3789;280124;gazella?;esc;g-s;r;c;si;;0;;;9;120;NA3;;;;;;4;21,5;;21,5;;;;;;;;;;;
n5446;280222;oc;RA;diaf;l;c;;carnivore;1;;;9;120;NA3;;;;;;5;;;;;;;;;;;;;;
n12247;190212;oc;skull;hioide;;c;si;roots;1;;;;;indet;;;;;;;;;;;;;;;;;;;;
n10738;290432;oc;TI;;;;;weathering;3;nf;;0;1;NA1;;;;;;9;;;;;;;;;;;;;;
n115;260003;ovar;mand;p3-m3;r;c;si;roots;2;m3 +/-;;18;24;LateRoman;;;;;;;;;27,1;;;18,5;24,6;;;;;;;
n3341;170046;oc;TI;diaf;;c;;fissures, weathering, roots;2;;;9;120;Med;;;;;;3;;;;;;;;;;;;;;
n9828;290212;bota;dn;indet;;sto;;fissures;1;;;;;NR;;;;;;8;;;;;;;;;;;;;;
n7096;280320;oc;ulna;diaf;r;ant;;fissures, roots;1;;;;;EarlyRoman;;;;;;C;;;;;;;;;;;;;;
n5611;280216;sudo;skull;max:d2-d4;l;c;;weathering, roots;1; +/0;;3;6;NA3;;;;;;5;;;;;;;;;;;;;;
n1882;270211;oc;cox;g-s;l;c;;roots;1;nf;masc;9;42;Vand;;;;;;2;27,1;24,6;8,5;8;14,4;9,1;;;;;;;;
n503;160048;oc;MC;diaf prox;r;c;;roots i fissures;1;nf dist;;12;24;EarlyRoman;;;;;;;;26,1;19,3;15,9;11,1;;;;;;;;;
n7129;260078;sudo;P3;s;;c;;;0;;;;;indet;;;;;;C;;;;;;;;;;;;;;
n3551;280118;equus;P2;s;;c;;fissures;2;f;;12;120;NA3;;;;;;4;46,3;50,7;30,5;43,3;48,7;25,4;;;;;;;;
n8094;290107;oc;MT;g-s;r;med;;roots;1;nf;;12;24;NR;;;;;;6;;;;;;;;;;;;;;
n12976;***1074;oc;vert;toracica;;c;;weathering;1;nf;;1;4;EarlyRoman;;;;;;12;;;;;;;;;;;;;;
n12866;***1065;ovar;AS;;r;c;;;0;;;;;EarlyRoman;;;;;;12;27,3;;;;;17,6;;;;;;;;
n10883;290432;bota;skull;max: d4-m1;l;c;;weathering, fissures;1;M1 +/0,M2 +/-;;18;24;NA1;;;;;;9;;;;;;;;;;;;;;
n5305;280200;oc;skull;zigomatic;;;;weathering;1;nf;;6;42;NA3;;;;;;5;;;;;;;;;;;;;;
n4958;180092;bota;HU;ext dist;;sto;;roots;1;f;;15;120;EarlyRoman;;;;;;3;;;;;;;;;;;;;;
n12056;190030;bota;P1 ant;diaf prox;;c;;roots, fissures, weathering;2;f;;24;120;EarlyRoman;;;;;;11;;25,5;27,9;;;;;;;;;;;
n4111;280412;sudo;P1;s;;c;;roots;1;f;;24;72;Vand;;;;;;4;32,1;17;16,6;12,7;14,6;9,9;;;;;;;;
n9675;290212;oc;esc;pala;;c;;weathering;1;;;;;NR;;;;;;8;;;;;;;;;;;;;;
n843;160028;oc;HU;diaf dist;l;c;;fissures, roots;2;f;;9;120;Vand;;;;;;;;;;;;;23;29,1;;;;;;
n6499;280311;sudo;P3;s;;c;;;0;;;3;24;Vand;;;;;;A;;;;;;;;;;;;;;
n10855;290432;bota;esc;coll;r;c;si;fissures, roots;1;f;;9;120;NA1;;;;;;9;;64,6;51,3;44,9;;;;;;;;;;
n5704;280221;oc;AS;;l;c;;;0;;;9;120;NA3;;;;;;5;30;16,8;19;;;;;;;;;;;
n657;170075;oc;skull;orbita;l;c;si;;;;;12;120;Med;;;;;;;;;;;;;;;;;;;;
n6062;280468;oc;MC;diaf dist;l;c;;carnivore;1;nf;;9;24;NR;;;;;;A;;;;;;;;;;;;;;
n9455;290115;micro;;;;;;;;;;;;EarlyRoman;;;;;;7;;;;;;;;;;;;;;
n1001;270002;bota;MT;g-s;l;c;si;fissures, roots;2;f;;24;120;indet;;;;;;1;218;48,8;44,7;27,5;24,2;;;;;;;;;
n2394;270064;bota;TI;diaf dist;l;c;si;fissures;2;f dist;;24;120;NR;;;;;;2;;;;;55;44,5;;;;;;;;
n10901;290432;bota;TI;diaf dist;l;c;;fissures, burnt;3;f;;30;120;NA1;;;;;;9;;;;;56,1;41,1;;;;;;;;
n1604;270063;bota;patella;s;l;c;si;;;;;12;120;NR;;;;;;1;60,3;46,6;;;;;;;;;;;;
n7081;170007;bota;P1;s;;c;;roots;1;f;;24;120;Med;;;;;;C;54,3;27,9;30,1;22,2;23,3;18,7;;;;;;;;
n3037;180025;bota;AS;;l;c;;fissures, weathering;2;;;12;120;Indet;;;;;;3;60,3;33,5;38,8;;;;;;;;;;;
n382;260033;ovar;CA;;r;c;;;0;f;;18;72;indet;;;;;;;;;;66,7;21,3;18,8;;;;;;;;
n9124;290422;oc;esc;coll + pala;l;c;si;roots;2;f;;12;120;NA2;;;;;;7;18,6;35,9;22,7;;;;;;;;;;;
n12816;190022;bota;AS;;l;c;;roots;2;;;;;indet;;;;;;11;67,4;;;;;46;;;;;;;;
n10568;290227;bota;P3;s;;c;;;0;;;24;120;NA3;;;;;;9;70,1;25,3;;;;;;;;;;;;
